term,doc_id,tf,tfidf
result,2,1,0.05612982464766734
enabl,2,1,0.21151987505746264
us,2,1,0.16477565112566817
character,2,1,0.12472379186518456
three,2,1,0.09171690418960249
stage,2,4,0.43208873528930575
growth,2,2,0.16768436235799192
hyperplasia,2,2,0.2739772909326367
without,2,1,0.09364782392114393
hypertrophi,2,2,0.2559299890207928
rd,2,2,0.3619892165474206
post,2,2,0.2769893470300334
natal,2,2,0.45231839235482585
cellular,2,1,0.1355454715855941
reorganis,2,1,0.2512100448964936
surfact,3,3,1.2686164455111555
fetal,3,4,1.360497052914087
lamb,3,4,1.8537818793411363
tracheal,3,3,1.628346212477373
fluid,3,5,1.3794062470753763
deliv,3,2,0.8953857188694135
cesarean,3,1,0.5427820708257911
section,3,1,0.3747637292001209
intact,3,1,0.3187884202211566
circul,3,1,0.2857079461275977
fill,3,1,0.4228721485037185
trachea,3,1,0.5076477001379104
analysi,3,1,0.2816318347707447
reveal,3,2,0.5342633809157207
contain,3,2,0.4573620709371059
materi,3,1,0.24940448593557668
high,3,1,0.20624357176286603
surfac,3,2,0.6036973059250664
activ,3,3,0.5292343537585379
near,3,1,0.36333110110752664
term,3,1,0.24306357649147975
less,3,1,0.22286632705695647
prematur,3,1,0.38111766644488376
administr,3,1,0.2468053307181648
10,3,1,0.21084598197267948
per,3,3,0.671413726701667
cent,3,2,0.5800023496860182
oxygen,3,1,0.2900011748430091
ewe,3,1,0.4827437530122158
1,3,1,0.1579866161863501
hour,3,1,0.26388527890994984
prior,3,1,0.32198452242733344
deliveri,3,1,0.3747637292001209
alter,3,1,0.2406665007557022
properti,3,1,0.29933710047644296
two,3,1,0.17738599962362564
analys,3,1,0.35326604218498725
146,3,1,0.6029041077515848
198,3,1,0.5427820708257911
mg,3,1,0.26880623614840743
lipid,3,1,0.33238721643604013
100,3,1,0.30711598682495134
ml,3,1,0.3127453037692989
30,3,1,0.2857079461275977
40,3,1,0.3442796751043011
phospholipid,3,1,0.38111766644488376
part,3,1,0.2577679705499149
compon,3,1,0.2969006416684524
investig,3,1,0.2442907513763244
report,3,1,0.19032727248432235
offer,3,1,0.34012426322852174
model,3,1,0.41272504190483617
research,3,1,0.38111766644488376
possibl,3,1,0.20191749280114504
intrauterin,3,1,0.4343870598569048
factor,3,1,0.20624357176286603
pathogenesi,3,1,0.3287727491191641
hyalin,3,1,0.44769285943470677
membran,3,1,0.28364408492876025
diseas,3,1,0.1819554576432216
placent,4,2,1.0318126047620904
cord,4,4,1.9055883322244187
blood,4,4,0.8994312081329625
lipid,4,2,0.8309680410901003
comparison,4,1,0.38054990736371264
set,4,2,1.0318126047620904
doubl,4,2,0.8953701888458321
ovum,4,2,1.3569551770644777
twin,4,2,1.15861367458821
stillborn,4,3,2.2608904040684425
live,4,4,1.7432621388648912
born,4,3,1.291048781641129
1,4,1,0.1974832702329376
determin,4,2,0.5119309444656325
phospholipid,4,2,0.9527941661122094
total,4,2,0.5667305075002314
free,4,1,0.3318647765261079
cholesterol,4,1,0.542983824821131
triglycerid,4,3,1.7379205118823151
nefa,4,3,1.7379205118823151
made,4,2,0.5083267726185283
tissu,4,1,0.22614116813948734
one,4,3,0.5791888754307941
2,4,2,0.35444565112589815
similar,4,1,0.2718411737754565
occur,4,1,0.23427726857034364
fraction,4,1,0.3360077951855093
studi,4,2,0.2956261238823702
except,4,1,0.3741713755955537
level,4,1,0.22876782106876445
3,4,1,0.1974832702329376
serum,4,1,0.2897080634035439
infant,4,2,0.6371983785127023
contain,4,1,0.2858512943356912
third,4,1,0.3681688011103727
much,4,2,0.6637295530522158
21,4,1,0.45416387638440825
time,4,1,0.21696322268538137
4,4,1,0.2141161937250104
content,4,2,0.6481331029339586
stillbirth,4,1,0.7536301346894809
placenta,4,1,0.48498376109986197
highest,4,1,0.4763970830561047
laboratori,4,1,0.4154840205450501
includ,4,1,0.2910294884670922
26,4,1,0.46106750589800666
birth,4,1,0.36250146855376136
5,4,1,0.23717042116452636
suggest,4,1,0.22051431406605748
increas,4,1,0.17934119236446222
lipoprotein,4,1,0.634559625172388
lipas,4,1,0.7536301346894809
activ,4,1,0.22051431406605748
may,4,1,0.18807268784160458
accompani,4,1,0.3773108162031665
intrauterin,4,1,0.542983824821131
fetal,4,1,0.4251553290356521
death,4,1,0.3711258020855655
free,5,4,1.3274591061044316
fatti,5,4,1.509243264812666
acid,5,4,1.013103045670348
concentr,5,3,0.8187936891839616
matern,5,3,1.2754659871069562
plasma,5,3,0.8937830435055786
fetal,5,2,0.8503106580713042
bodi,5,3,0.8155235213263696
fat,5,3,1.324747658193702
content,5,1,0.3240665514669793
subcutan,5,1,0.4684546615001511
inject,5,2,0.5251458403871225
200,5,1,0.4763970830561047
u.s.p.,5,1,0.7536301346894809
unit,5,1,0.4303495938803763
heparin,5,2,1.119232148586767
femal,5,1,0.3773108162031665
spragu,5,1,0.634559625172388
dawley,5,1,0.634559625172388
rat,5,2,0.4996220238541715
produc,5,1,0.2523968660014313
larg,5,1,0.2846000429897651
sustain,5,1,0.542983824821131
elev,5,1,0.41096593639895507
signific,5,1,0.2401635670677404
chang,5,2,0.4014665805873112
blood,5,1,0.22485780203324063
glucos,5,1,0.3873530024509086
group,5,2,0.44718737754686577
pregnant,5,1,0.45416387638440825
receiv,5,1,0.34256590325033415
3,5,1,0.1974832702329376
time,5,1,0.21696322268538137
daili,5,1,0.41096593639895507
throughout,5,1,0.4303495938803763
pregnanc,5,1,0.41096593639895507
fetus,5,2,1.0571803712592962
mother,5,3,1.095886540213661
191,5,1,0.6784775885322388
2,5,2,0.35444565112589815
211,5,1,0.7536301346894809
day,5,1,0.2401635670677404
gestat,5,1,0.5045710771066327
significantli,5,1,0.308506663397706
uninject,5,1,0.7536301346894809
hypothesi,5,1,0.40248065303416675
present,5,1,0.18263740478114954
part,5,1,0.32220996318739364
determin,5,1,0.25596547223281624
accumul,5,1,0.45416387638440825
propos,5,1,0.46106750589800666
composit,5,1,0.4251553290356521
note,5,1,0.3448515617688441
babi,5,1,0.5285901856296481
diabet,5,1,0.3448515617688441
might,5,1,0.39093162971162354
thu,5,1,0.3681688011103727
ascrib,5,1,0.7536301346894809
abnorm,5,1,0.3023196015663789
high,5,1,0.25780446470358254
concentr,6,5,1.0917249189119487
non,6,5,1.2673706267265743
esterifi,6,4,1.691488594014874
fatti,6,4,1.2073946118501329
acid,6,4,0.8104824365362785
matern,6,3,1.020372789685565
fetal,6,3,1.020372789685565
plasma,6,5,1.1917107246741048
intact,6,1,0.3187884202211566
alloxan,6,2,0.8254500838096723
diabet,6,2,0.5517624988301505
x,6,2,0.5593375263003136
ray,6,2,0.6973048555459566
irradi,6,2,0.5555052107247177
rat,6,3,0.5995464286250057
determin,6,1,0.204772377786253
pregnant,6,3,1.0899933033225797
show,6,1,0.17084674513540865
exist,6,1,0.27588124941507525
increas,6,3,0.43041886167470933
depend,6,1,0.29933710047644296
pregnanc,6,3,0.9863182473574921
period,6,1,0.18685512055832454
20,6,1,0.2577679705499149
th,6,2,0.6885593502086022
22,6,1,0.35814807553833283
nd,6,1,0.41272504190483617
day,6,3,0.576392560962577
amount,6,1,0.2406665007557022
40,6,2,0.6885593502086022
50,6,1,0.2816318347707447
per,6,1,0.22380457556722236
cent,6,1,0.2900011748430091
valu,6,2,0.4635329014456702
produc,6,1,0.20191749280114504
2,6,1,0.14177826045035927
prior,6,1,0.32198452242733344
test,6,1,0.19917240789227333
three,6,1,0.22012057005504598
fivefold,6,1,0.6029041077515848
time,6,1,0.17357057814830512
signific,6,1,0.19213085365419233
rise,6,1,0.2796687631501568
absent,6,1,0.36333110110752664
slightli,6,1,0.34012426322852174
averag,6,1,0.2563103284536265
whole,6,1,0.3127453037692989
bodi,6,1,0.21747293902036524
exposur,6,1,0.3287727491191641
dose,6,2,0.49618800187790746
400,6,1,0.4343870598569048
r,6,2,0.7495274584002418
output,6,1,0.33616595576230107
min,6,1,0.3486524277729783
femal,6,1,0.3018486529625332
begin,6,1,0.33616595576230107
17,6,1,0.3098824019607269
result,6,1,0.13471157915440163
chang,6,1,0.1605866322349245
immedi,6,1,0.3127453037692989
lipid,7,5,1.6619360821802005
metabol,7,1,0.2276800343918121
toxemia,7,1,0.5427820708257911
normal,7,3,0.46232275503426434
pregnanc,7,2,0.6575454982383282
amount,7,1,0.2406665007557022
fatti,7,2,0.6036973059250664
acid,7,3,0.6078618274022088
composit,7,2,0.6802485264570435
total,7,4,0.9067688120003702
extract,7,1,0.2740527226002673
serum,7,3,0.6952993521685052
examin,7,2,0.4420491761779218
pregnant,7,1,0.36333110110752664
women,7,3,0.921347960474854
first,7,1,0.21491709887169513
second,7,1,0.2878260356660504
third,7,1,0.2945350408882982
trimest,7,1,0.4827437530122158
earli,7,1,0.2192274493644266
postpartum,7,1,0.5076477001379104
period,7,1,0.18685512055832454
patient,7,1,0.12931786679733734
mild,7,1,0.38798700887988957
sever,7,1,0.1897363369316211
preeclampsia,7,3,1.8087123232547542
essenti,7,1,0.3157114705118243
hypertens,7,2,0.7065320843699745
placenta,7,2,0.7759740177597791
term,7,1,0.24306357649147975
also,7,1,0.16571765915265338
increas,7,1,0.14347295389156978
rise,7,1,0.2796687631501568
less,7,1,0.22286632705695647
pronounc,7,1,0.35326604218498725
palmit,7,1,0.5076477001379104
mildli,7,1,0.4827437530122158
significantli,7,1,0.2468053307181648
elev,7,2,0.6575454982383282
arachidon,7,1,0.4827437530122158
preeclampt,7,1,0.5076477001379104
find,7,1,0.21084598197267948
compar,7,1,0.1971811035389325
obtain,7,1,0.2012212348295903
anim,7,1,0.2192274493644266
develop,7,1,0.1673827266093244
eclampsia,7,1,0.6029041077515848
experiment,7,1,0.2654918212208863
basi,7,1,0.2577679705499149
essenti,8,2,0.5261857841863737
fatti,8,2,0.5030810882708886
acid,8,6,1.013103045670348
tran,8,2,0.7239784330948412
configur,8,2,0.7239784330948412
subcutan,8,2,0.6246062153335348
viscer,8,2,0.7461547657245112
fat,8,3,0.8831651054624681
newborn,8,3,0.7677899670623783
made,8,1,0.16944225753950942
investig,8,1,0.20357562614693697
estim,8,1,0.2606210864744157
content,8,2,0.43208873528930575
linol,8,1,0.38620455819607
linolen,8,1,0.5024200897929872
spectrophotometr,8,1,0.45231839235482585
abl,8,1,0.28343688602376804
show,8,1,0.14237228761284051
penetr,8,1,0.38620455819607
placent,8,1,0.3439375349206968
barrier,8,1,0.35239345708643205
low,8,1,0.20255298040956643
immatur,8,1,0.32955130225133633
one,8,1,0.12870863898462093
7-14,8,1,0.5024200897929872
g,8,1,0.2905436898108152
rise,8,1,0.23305730262513064
trend,8,1,0.3730773828622556
acetoacet,9,3,3.0145205387579237
format,9,3,1.311553955652039
liver,9,3,1.1190228778361118
human,9,2,0.66843904437653
fetus,9,3,2.1143607425185924
age,9,2,0.692484750259303
8-17,9,2,2.009680359171949
week,9,3,1.4081591738537236
slice,9,1,0.8045729216870262
homogen,9,1,0.6147566745306755
low,9,1,0.40510596081913286
rate,9,1,0.3377010152234493
rais,9,1,0.5212421729488314
addit,9,1,0.3880393179561229
acet,9,1,0.6878750698413936
octano,9,1,1.0048401795859745
incub,9,1,0.5737994585071684
medium,9,1,0.49089173481383025
possibl,9,1,0.336529154668575
demonstr,9,1,0.34498432099637144
isol,9,2,0.7796523313338073
mitochondria,9,2,1.293290029599632
17,9,1,0.5164706699345447
old,9,1,0.42015630385535296
probabl,9,1,0.4092296611570725
injur,9,1,0.7461547657245112
chang,10,2,0.321173264469849
blood,10,4,0.71954496650637
glucos,10,4,1.2395296078429077
non,10,4,1.0138965013812595
esterifi,10,4,1.691488594014874
fatti,10,4,1.2073946118501329
acid,10,4,0.8104824365362785
foetal,10,2,0.8687741197138096
newborn,10,2,0.6142319736499027
lamb,10,1,0.46344546983528406
inject,10,1,0.21005833615484903
adrenalin,10,5,2.7139103541289553
intraven,10,1,0.2969006416684524
measur,10,1,0.20191749280114504
adult,10,2,0.4813330015114044
sheep,10,1,0.4343870598569048
foetu,10,1,0.5076477001379104
immedi,10,1,0.3127453037692989
birth,10,1,0.2900011748430091
littl,10,1,0.3157114705118243
increas,10,2,0.28694590778313955
either,10,1,0.2577679705499149
respons,10,2,0.36079527288742297
reach,10,1,0.3098824019607269
level,10,1,0.18301425685501158
twenti,10,1,0.3486524277729783
four,10,1,0.25487935140508095
hour,10,1,0.26388527890994984
age,10,1,0.20774542507779092
ed,10,1,0.40365686168530623
gradual,10,1,0.3486524277729783
first,10,1,0.21491709887169513
week,10,1,0.2816318347707447
electron,11,2,0.7483427511911074
microscop,11,1,0.4154840205450501
observat,11,1,0.7536301346894809
transfer,11,1,0.4251553290356521
fat,11,4,1.7663302109249361
human,11,3,0.7519939249235963
placenta,11,4,1.9399350443994479
result,11,2,0.33677894788600404
previou,11,1,0.40663641475678236
present,11,1,0.18263740478114954
studi,11,1,0.1478130619411851
transport,11,3,1.324747658193702
mean,11,1,0.2718411737754565
microscopi,11,1,0.4251553290356521
obtain,11,1,0.2515265435369879
follow,11,1,0.20265235043332283
conclus,11,1,0.3873530024509086
1,11,1,0.1974832702329376
neutral,11,1,0.44768509442291604
permeat,11,2,1.5072602693789618
without,11,1,0.2809434717634318
dissoci,11,1,0.542983824821131
2,11,1,0.17722282556294908
almost,11,1,0.3873530024509086
process,11,1,0.3023196015663789
seem,11,1,0.31175560741947084
due,11,1,0.26555913230824013
biolog,11,2,0.7363376022207454
activ,11,1,0.22051431406605748
pinocytosi,11,1,0.634559625172388
repres,11,1,0.3773108162031665
author,11,2,0.5902161334241117
newli,11,1,0.48498376109986197
found,11,1,0.19263448126427682
sever,11,1,0.23717042116452636
fact,11,1,0.35713493265949714
dissolut,11,1,0.6784775885322388
like,11,1,0.32788848891300976
chang,11,1,0.2007332902936556
basement,11,1,0.579306837294105
membran,11,1,0.3545551061609503
via,11,1,0.49432695337700455
stroma,11,1,0.579306837294105
cell,11,1,0.19094403135769997
believ,11,1,0.4251553290356521
bring,11,1,0.5285901856296481
clue,11,1,0.6034296912652697
explain,11,1,0.359782544582563
mechan,11,1,0.2884048640625968
materi,11,1,0.31175560741947084
content,12,5,0.9259044327627981
phosphatid,12,3,1.0344508993118908
triglycerid,12,7,2.31722734917642
cholesterol,12,5,1.5513823566318028
placenta,12,2,0.5542671555426993
matern,12,2,0.48589180461217385
fetal,12,3,0.7288377069182608
new,12,1,0.17909821242666357
born,12,1,0.2459140536459293
liver,12,5,0.7993020555972227
white,12,1,0.2595222150768047
rat,12,5,0.7137457483631021
thin,12,1,0.3197806138819334
layer,12,1,0.31027647132636055
chromatograph,12,1,0.3310324784537743
examin,12,2,0.3157494115556584
show,12,1,0.12203338938243473
differ,12,2,0.23792118309547378
rise,12,3,0.599290206750336
signific,12,1,0.13723632403870878
increas,12,2,0.20496136270224252
esterifi,12,1,0.3020515346455132
howev,12,1,0.15174807560470863
strike,12,1,0.27222690460348836
chang,12,1,0.11470473731066035
free,12,3,0.5689110454733278
lipid,12,2,0.4748388806229144
phosphoru,12,2,0.5542671555426993
fraction,12,2,0.38400890878343913
lecithin,12,2,0.6620649569075486
colamin,12,2,0.7754029583225586
cephalin,12,2,0.7252110001970148
sphingomyelin,12,1,0.3310324784537743
lysolecithin,12,1,0.43064579125113195
compar,12,1,0.14084364538495178
adult,12,2,0.34380928679386025
contain,12,1,0.16334359676325208
littl,12,1,0.22550819322273163
less,12,1,0.15919023361211174
50,12,1,0.20116559626481764
per,12,1,0.15986041111944452
cent,12,1,0.20714369631643506
condit,12,1,0.15117303317924324
concentr,12,3,0.4678821081051208
19,12,2,0.5116401079119041
th,12,2,0.4918281072918586
day,12,3,0.41170897211612634
lower,12,1,0.17628952194154626
mother,12,1,0.20874029337403066
refer,12,1,0.19447512822160462
dri,12,1,0.3020515346455132
weight,12,1,0.17909821242666357
result,12,1,0.09622255653885829
decreas,12,1,0.15351221347978222
well,12,1,0.14274914967262042
slight,12,1,0.25233288727499087
22,12,2,0.5116401079119041
nd,12,2,0.5896072027211945
valu,12,2,0.3310949296040501
occur,12,1,0.13387272489733923
immedi,12,1,0.2233895026923563
birth,12,1,0.20714369631643506
influenc,12,1,0.17361684035105696
milk,12,1,0.3310324784537743
food,12,1,0.3197806138819334
moreov,12,1,0.27713357777134967
lead,12,1,0.19447512822160462
consider,12,1,0.18006698736657983
phospholipid,12,1,0.27222690460348836
correspond,12,1,0.2233895026923563
sole,12,1,0.29480360136059724
higher,12,1,0.1810529466752249
end,12,1,0.24011853983021503
pregnanc,12,1,0.23483767794226001
drop,12,1,0.31027647132636055
toward,12,1,0.24903744840927017
analysi,13,1,0.4693863912845745
mammalian,13,2,1.3757501396827871
len,13,3,1.4182204246438013
protein,13,3,1.169478497000711
electrophoresi,13,2,1.345522872284354
differ,13,2,0.5551494272227722
speci,13,2,0.9817834696276605
analyz,13,2,1.1475989170143368
two,13,2,0.5912866654120854
dimension,13,1,0.9046367847096517
starch,13,1,0.77240911639214
gel,13,1,0.5602765929371684
number,13,1,0.36245489836727535
fraction,13,2,0.896020787161358
detect,13,1,0.42015630385535296
mean,13,1,0.36245489836727535
vari,13,1,0.44521948409643386
11-20,13,1,1.0048401795859745
crystallin,13,3,1.7213983755215052
resolv,13,1,0.8460795002298506
three,13,2,0.7337352335168199
compon,13,2,0.9896688055615079
b,13,1,0.45980208235845876
5-11,13,1,1.0048401795859745
five,13,1,0.4870606845394049
techniqu,13,1,0.39534326052995367
provid,13,1,0.44521948409643386
sensit,13,1,0.4271838807560441
method,13,1,0.3264734795010875
autoradiograph,14,1,0.38111766644488376
studi,14,1,0.11825044955294808
cell,14,3,0.4582656752584799
migrat,14,1,0.35326604218498725
eye,14,2,0.7266622022150533
len,14,3,0.8509322547862808
epithelium,14,2,0.7065320843699745
normal,14,2,0.30821517002284293
alloxan,14,2,0.8254500838096723
diabet,14,5,1.3794062470753763
rat,14,4,0.7993952381666745
lens,14,1,0.3747637292001209
without,14,1,0.22475477741074545
cataract,14,1,0.41272504190483617
investig,14,1,0.2442907513763244
autoradiographi,14,1,0.4343870598569048
4,14,5,0.8564647749000416
hour,14,3,0.7916558367298494
day,14,3,0.576392560962577
8,14,2,0.4936106614363296
intraperiton,14,1,0.41272504190483617
inject,14,2,0.42011667230969807
h,14,1,0.3157114705118243
3,14,1,0.1579866161863501
thymidin,14,2,0.6802485264570435
0.4,14,1,0.5427820708257911
uc,14,1,0.4343870598569048
g,14,1,0.3486524277729783
bodi,14,1,0.21747293902036524
weight,14,1,0.25073749739732903
made,14,1,0.20333070904741135
prior,14,1,0.32198452242733344
age,14,1,0.20774542507779092
week,14,1,0.2816318347707447
posit,14,1,0.27775260536235885
label,14,3,0.8700035245290273
nuclei,14,3,1.1242911876003625
note,14,1,0.27588124941507525
grain,14,2,0.9268909396705681
number,14,1,0.21747293902036524
count,14,2,0.6575454982383282
lower,14,1,0.2468053307181648
frequenc,14,2,0.6197648039214538
control,14,1,0.1915244500181411
equal,14,1,0.3486524277729783
diagram,14,1,0.6029041077515848
given,14,2,0.43322217678455693
three,14,1,0.22012057005504598
experiment,14,2,0.5309836424417727
period,14,2,0.3737102411166491
predomin,14,1,0.38798700887988957
peak,14,2,0.6802485264570435
appear,14,1,0.17219457476787725
distanc,14,1,0.44769285943470677
30-60,14,1,0.6029041077515848
front,14,1,0.6029041077515848
begin,14,1,0.33616595576230107
nuclear,14,1,0.3486524277729783
arc,14,1,0.5427820708257911
success,14,1,0.32198452242733344
shift,14,2,0.8073137233706125
toward,14,1,0.3486524277729783
area,14,1,0.2534741253453149
observ,14,1,0.15908777705556099
longer,14,1,0.41272504190483617
restrict,14,1,0.38798700887988957
anim,14,1,0.2192274493644266
result,14,1,0.13471157915440163
may,14,1,0.1504581502732837
best,14,1,0.3157114705118243
interpret,14,1,0.3253091318054259
effect,14,1,0.14318708747505496
increas,14,1,0.14347295389156978
time,14,1,0.17357057814830512
gener,14,1,0.23282359077367376
appendix,14,1,0.6029041077515848
histotechniqu,14,1,0.6029041077515848
collabor,14,1,0.6029041077515848
mr,14,1,0.5076477001379104
gertraud,14,1,0.6029041077515848
moewi,14,1,0.6029041077515848
len,15,8,1.4182204246438013
develop,15,2,0.2092284082616555
differenti,15,2,0.3360077951855093
embryon,15,5,1.11921273605729
chick,15,2,0.4763970830561047
epitheli,15,4,0.7892786762795607
cell,15,3,0.28641604703654994
vitro,15,1,0.17856746632974857
vivo,15,1,0.2179077673581114
behavior,15,1,0.1936765012254543
six,15,1,0.19731966906989018
day,15,1,0.1200817835338702
embryo,15,1,0.23819854152805234
studi,15,1,0.07390653097059255
three,15,1,0.13757535628440373
differ,15,2,0.20818103520853956
experiment,15,1,0.16593238826305395
situat,15,1,0.21517479694018815
explant,15,4,1.085967649642262
sever,15,1,0.11858521058226318
fluid,15,1,0.17242578088442204
cultur,15,3,0.4468915217527893
media,15,1,0.25228553855331637
b,15,1,0.17242578088442204
follow,15,3,0.30397852564998423
reimplant,15,2,0.6784775885322388
lensectom,15,1,0.37681506734474046
eye,15,2,0.45416387638440825
c,15,1,0.16203327573348966
coelom,15,2,0.7536301346894809
caviti,15,1,0.2714919124105655
specimen,15,2,0.4303495938803763
examin,15,1,0.13814036755560055
histolog,15,1,0.18408440055518635
total,15,1,0.14168262687505784
volum,15,1,0.18408440055518635
materi,15,1,0.15587780370973542
determin,15,2,0.25596547223281624
planimetri,15,1,0.37681506734474046
serial,15,1,0.22384254721145802
section,15,1,0.23422733075007554
result,15,1,0.08419473697150101
interpret,15,1,0.20331820737839118
1,15,1,0.0987416351164688
small,15,1,0.1489638405842631
amount,15,2,0.30083312594462774
protein,15,2,0.29236962425017776
supplement,15,2,0.542983824821131
medium,15,1,0.18408440055518635
capabl,15,1,0.2179077673581114
limit,15,1,0.16800389759275464
independ,15,1,0.21257766451782606
cytodifferenti,15,1,0.37681506734474046
without,15,1,0.1404717358817159
fail,15,1,0.20124032651708337
undergo,15,1,0.21517479694018815
fiber,15,2,0.579306837294105
format,15,2,0.32788848891300976
2,15,1,0.08861141278147454
return,15,1,0.23053375294900333
environ,15,1,0.23053375294900333
respond,15,1,0.21010372235143815
resumpt,15,1,0.37681506734474046
growth,15,1,0.12576327176849394
cellular,15,1,0.20331820737839118
least,15,1,0.18865540810158324
morphogenet,15,1,0.37681506734474046
chang,15,1,0.1003666451468278
necessari,15,1,0.21257766451782606
form,15,1,0.12323818971183281
support,15,1,0.18408440055518635
respons,15,1,0.11274852277731967
3,15,1,0.0987416351164688
initi,15,1,0.1584213283408218
suffici,15,1,0.21010372235143815
complet,15,1,0.1489638405842631
autonom,15,1,0.2579531511905226
matur,15,1,0.21257766451782606
4,15,1,0.1070580968625052
intern,15,1,0.21257766451782606
architectur,15,1,0.317279812586194
overal,15,1,0.24716347668850228
shape,15,1,0.22384254721145802
treatment,16,1,0.16866024093506743
activ,16,2,0.352822902505692
chronic,16,3,0.8448955043122341
hepat,16,5,1.5355799341247567
lupoid,16,2,1.0855641416515822
6,16,2,0.41398118519564575
mercaptopurin,16,2,0.8953857188694135
azothioprin,16,2,1.0855641416515822
imuran,16,1,0.4827437530122158
use,16,1,0.15342768777688265
success,16,1,0.32198452242733344
3,16,1,0.1579866161863501
patient,16,1,0.12931786679733734
2,16,1,0.14177826045035927
period,16,1,0.18685512055832454
1,16,1,0.1579866161863501
year,16,1,0.1939823347579029
drug,16,1,0.2654918212208863
allow,16,1,0.3253091318054259
modif,16,1,0.4228721485037185
even,16,1,0.26231079113040784
abolit,16,1,0.6029041077515848
discomfort,16,1,0.5076477001379104
corticosteroid,16,1,0.36333110110752664
regim,16,1,0.5427820708257911
action,16,2,0.49618800187790746
may,16,1,0.1504581502732837
analog,16,1,0.40365686168530623
anti,16,1,0.3486524277729783
immun,16,1,0.3127453037692989
suppress,16,1,0.32198452242733344
homograft,16,1,0.4827437530122158
reject,16,1,0.38111766644488376
treatment,17,2,0.33732048187013486
collagen,17,2,0.9268909396705681
diseas,17,3,0.5458663729296648
cytostat,17,2,1.2058082155031695
22,17,2,0.7162961510766657
patient,17,5,0.6465893339866867
3,17,1,0.1579866161863501
immunolog,17,1,0.3098824019607269
treat,17,1,0.2192274493644266
antimetabolit,17,1,0.4827437530122158
purinethol,17,1,0.5427820708257911
6,17,1,0.20699059259782288
mercaptopurin,17,1,0.44769285943470677
imuran,17,1,0.4827437530122158
azathioprin,17,1,0.5076477001379104
averag,17,1,0.2563103284536265
period,17,1,0.18685512055832454
four,17,1,0.25487935140508095
month,17,2,0.49618800187790746
rang,17,1,0.27775260536235885
one,17,1,0.1544503667815451
eleven,17,1,0.46344546983528406
improv,17,1,0.30443992589097013
obtain,17,1,0.2012212348295903
17,17,1,0.3098824019607269
20,17,1,0.2577679705499149
long,17,2,0.5246215822608157
term,17,2,0.4861271529829595
glucocorticoid,17,2,1.0152954002758208
medic,17,2,0.6575454982383282
